ID,Number Transactions,Total Amount
5199,1684,41250.01
4699,1683,40783.51
5827,1683,42834.31
15163,1681,42720.74
2092,1678,41785.23
4282,1667,42861.69
24832,1666,42648.81
8348,1661,42450.76
4854,1656,41644.16
19043,1655,42157.91
9068,1642,41523.23
10221,1634,41772.5
1440,1633,41817.38
1641,1630,41017.79
1825,1629,39992.67
4802,1629,41818.36
2836,1624,39451.95
8248,1618,39783.15
5048,1617,40496.45
5187,1608,39595.14
4736,1606,40102.73
5678,1600,39971.27
16832,1591,39850.44
10158,1589,40590.22
3330,1584,39608.69
11333,1572,39311.38
5357,1569,38543.82
14981,1560,38621.17
2492,1553,38866.98
4762,1553,38286.97
1553,1550,38242.92
2410,1548,39819.15
8628,1547,36761.12
23694,1544,38739.54
871,1539,37160.39
1751,1537,38967.62
14307,1532,38984.38
4698,1529,37464.13
11786,1527,38526.38
19045,1526,38856.1
27093,1526,38947.97
115,1519,37280.82
10485,1517,38591.15
11420,1517,37488.89
20243,1515,38059.79
10803,1512,38024.81
4895,1509,38133.55
5284,1508,37393.63
66,1505,37017.89
13095,1502,38583.29
2425,1501,37070.13
6261,1500,36542.58
15957,1500,38166.41
8912,1498,37012.64
15772,1498,37608.76
19080,1497,38568.84
7109,1496,38394.26
2507,1495,38288.52
2611,1490,36375.54
4884,1490,36165.94
6117,1483,37164.57
5740,1477,36837.06
206,1471,37380.73
826,1470,37695.34
12255,1470,37658.04
2803,1469,36101.52
4690,1469,35504.44
20719,1464,38213.43
3376,1463,35452.72
4679,1462,36085.1
2747,1456,36219.36
6248,1456,36670.66
22629,1455,37416.14
4787,1449,36117.01
10340,1444,36943.73
3362,1438,35729.82
12272,1437,35876.86
5131,1425,34458.03
3426,1420,34759.14
1098,1413,35617.84
14988,1412,36472.68
26688,1409,35504.76
5549,1396,34728.99
5703,1392,34019.56
19024,1391,35841.7
8808,1390,34514.49
349,1383,35391.02
5667,1383,35133.57
51757,1383,34796.07
5691,1380,33120.95
3352,1379,34548.09
5527,1377,34482.04
710,1375,33948.09
15168,1369,34998.0
9697,1367,33814.35
1924,1360,34251.89
7847,1358,35290.09
10724,1358,33831.27
6878,1354,34360.77
284,1350,32889.07
5090,1346,32987.03
263,1344,32973.19
4882,1344,32812.65
19535,1342,33903.59
6354,1341,32845.88
5546,1338,33905.4
15817,1336,33206.8
7651,1335,33154.29
9013,1335,33328.16
220,1334,33763.66
5297,1333,33417.72
2961,1332,32845.12
5390,1332,32175.07
2933,1329,33707.09
8228,1327,33365.39
12895,1327,33378.82
10185,1322,32471.98
192,1321,31605.54
10088,1314,32780.88
25832,1314,33218.65
14978,1310,33483.6
4909,1304,32988.91
850,1299,33243.59
19329,1297,32839.82
2386,1294,32444.15
10082,1292,32409.61
737,1290,32923.41
8235,1290,31493.97
13319,1287,32653.52
17503,1287,32625.98
10596,1286,31457.87
68,1284,32043.1
18744,1284,32452.44
20507,1284,31998.48
22,1274,31194.58
40,1274,31709.14
8432,1274,32285.25
11165,1274,32217.71
9482,1273,31717.38
3009,1271,32009.91
2593,1270,31540.82
8384,1270,32167.54
23263,1270,31311.58
398,1269,31616.7
5574,1269,31971.31
14615,1268,31489.08
8763,1265,32366.63
17150,1262,31880.31
2881,1260,31366.54
8288,1260,31737.95
5205,1256,29927.76
12878,1256,31918.4
22195,1256,31776.74
1361,1252,32057.57
5397,1252,32252.53
5770,1247,30377.57
281,1246,31135.19
4920,1246,30961.23
595,1239,30445.38
1933,1239,30888.86
2810,1238,30979.81
5542,1238,31202.1
10449,1238,30796.66
2090,1234,31341.66
8508,1233,30408.21
2926,1228,30604.13
1979,1226,30131.11
16889,1223,30870.33
15950,1222,30565.45
4789,1220,30174.03
4742,1219,30391.85
1298,1218,30073.1
34468,1215,31015.1
5627,1211,30358.27
6296,1210,29854.94
12304,1210,30709.53
16975,1208,31391.69
7864,1207,30086.84
151,1206,28709.8
9837,1206,29419.19
4723,1205,30393.33
3125,1204,30706.31
1692,1203,30290.6
5065,1202,30289.97
5482,1202,29725.87
10200,1202,30116.84
5384,1198,30488.71
16443,1198,30169.69
3439,1197,29306.91
2116,1196,30074.7
13735,1195,30323.71
15543,1195,30286.46
4958,1193,29815.8
4448,1192,28764.07
12093,1192,30079.72
2571,1190,29070.89
4893,1190,30622.52
11751,1189,29498.8
318,1188,29453.78
9889,1188,30073.54
7892,1187,29061.79
4986,1184,28677.05
8994,1184,29103.17
13501,1184,29693.77
3038,1183,29514.29
4875,1183,29597.5
14999,1183,30199.21
9099,1181,29964.63
8286,1179,29966.89
9982,1179,29333.06
11083,1179,29609.29
7430,1178,29479.68
3086,1177,28099.64
1426,1176,29586.79
59,1175,29164.58
4756,1174,28669.03
6379,1174,29202.83
4038,1172,29989.71
1334,1170,29216.44
2662,1170,29959.69
10096,1167,29078.49
10491,1167,30178.61
3806,1166,29196.82
48,1165,28652.62
3493,1161,29339.87
4851,1161,28921.2
27110,1160,29081.28
2501,1157,28889.45
11163,1156,29938.31
11689,1155,28727.57
74,1154,29489.47
3042,1154,29253.79
5635,1151,28753.13
9287,1150,29346.86
7742,1149,27920.43
10131,1148,29116.0
4257,1146,28697.65
6017,1146,27583.37
15402,1146,29105.18
6232,1143,27876.56
18048,1142,28779.4
5755,1140,28204.7
18676,1140,28882.59
5559,1138,28438.93
11262,1138,27610.55
11268,1135,29145.11
205,1133,27310.87
157,1131,28611.74
1819,1130,28617.22
8104,1130,28446.31
11402,1129,28590.53
15002,1129,28532.45
354,1128,28805.14
11029,1128,28352.46
140,1127,28540.76
2489,1127,27972.78
1996,1126,28871.33
2379,1125,28066.76
5600,1122,28106.69
8928,1121,27900.59
510,1120,26912.4
10327,1119,28342.79
6352,1118,28257.36
1560,1117,28597.29
2789,1117,28493.99
7909,1116,27365.96
1970,1112,27299.18
2844,1112,27752.69
3057,1112,28369.06
5226,1112,27375.85
1142,1111,27698.6
13647,1110,27817.65
796,1108,27505.85
9311,1108,27494.17
9567,1107,27917.0
12826,1107,27605.31
1371,1105,27645.71
13167,1105,27402.98
8,1103,26971.44
3152,1101,27626.93
4972,1099,27128.29
5516,1099,27239.3
9522,1098,28161.89
13567,1098,27289.83
28597,1097,27850.77
2766,1096,27781.62
2784,1094,27485.47
5031,1094,27602.86
17815,1093,27262.48
2223,1092,26994.84
8381,1091,27207.19
25090,1090,27411.51
171,1089,27225.7
629,1087,27022.08
4844,1085,27640.11
1219,1083,27046.77
4843,1083,27326.54
3242,1081,26493.09
3050,1079,25785.23
3076,1079,27195.01
11614,1078,26925.69
2400,1077,27743.36
16546,1076,26109.42
2778,1075,26187.56
9813,1074,27219.59
5008,1073,26744.43
1855,1072,26747.72
2839,1071,26503.64
5195,1071,26627.96
5280,1071,26603.84
4209,1069,26541.55
5161,1069,26088.57
3264,1068,27013.98
4678,1068,26486.04
5157,1067,26028.81
1329,1066,26710.19
5375,1066,26121.87
1972,1065,26121.91
4908,1065,26560.21
8457,1065,26257.62
4963,1064,26226.2
11354,1064,26636.27
1478,1063,26535.07
8489,1062,25891.78
17029,1062,26828.4
21890,1061,26708.59
2466,1060,26226.7
4116,1058,26980.83
32875,1058,27491.53
35131,1057,26637.3
376,1056,25960.85
2938,1056,26893.61
8683,1055,26389.89
19354,1053,25889.07
3726,1052,25915.5
4837,1050,26670.45
9668,1048,26194.3
33620,1048,26792.22
243,1047,26338.24
15544,1047,25854.07
15641,1045,26419.11
1712,1043,25164.87
2562,1043,26367.17
10696,1043,25887.16
7883,1042,25500.46
5840,1041,26798.51
4713,1036,25950.69
5212,1036,25891.29
5288,1035,25662.73
4217,1034,25598.21
5819,1034,26969.5
5323,1033,26212.39
16770,1032,26720.18
4406,1031,25550.24
10582,1031,26132.29
1826,1029,25647.32
5759,1028,24897.53
6199,1028,24913.59
8026,1028,26270.19
6280,1027,25088.39
2788,1026,25952.07
17340,1026,25978.59
779,1025,25933.86
8404,1023,25480.33
0,1022,25376.23
5186,1022,25286.96
2286,1021,25457.68
4398,1021,25861.55
17539,1021,26553.39
18890,1021,25439.69
23364,1021,25937.7
23586,1021,25953.92
5619,1019,25577.67
5697,1019,25972.3
2563,1018,24751.01
3000,1017,25499.87
6489,1016,25699.12
4899,1015,25889.56
12118,1013,25475.55
4850,1011,25372.42
16071,1011,25194.18
19288,1011,25129.21
4886,1010,24195.97
5853,1010,24920.8
10289,1009,24816.7
1042,1008,24960.56
818,1007,25123.92
35241,1006,25375.33
5095,1005,24425.33
26652,1005,25790.08
5102,1004,23986.79
189,1003,25474.82
12260,1003,25361.41
4522,1000,24451.7
1829,999,25842.09
7717,998,24701.55
7844,996,24614.89
12953,993,24789.59
13956,993,25255.57
6241,991,23983.99
3212,989,23857.57
5899,989,24528.92
7936,989,24648.55
16444,988,24550.13
9000,985,24195.51
4856,984,23669.66
6102,984,23862.78
5000,983,24031.23
125,982,24237.04
3662,981,24572.63
190,979,24837.5
2531,979,24134.71
18996,978,24456.29
4926,977,24718.18
8529,975,23666.15
13130,975,24101.8
15579,975,24130.4
91,974,24483.29
4695,973,23743.3
5122,971,23401.02
5729,971,24281.43
2031,970,24509.89
3130,970,23878.37
8318,970,23672.28
9885,970,24337.29
11123,970,23905.33
3108,969,24448.79
17578,968,23443.92
677,967,23971.73
23,965,24638.22
12729,965,24468.1
18049,964,23821.38
4730,963,24457.52
11203,963,24758.35
8673,960,23882.2
21017,960,24378.46
4664,959,23186.71
16545,955,24128.67
6125,954,23873.4
1772,952,23702.35
2891,952,24026.58
10083,952,23473.89
185,950,22259.1
5662,950,23918.56
9625,949,23835.11
7617,948,23399.22
15902,947,23409.91
9360,946,23866.05
1925,944,23254.46
3984,944,24256.08
5884,944,24075.84
3093,941,23580.29
3459,941,23074.72
8319,941,23042.51
19406,941,23303.53
356,939,23655.67
4616,939,22775.18
8510,939,23678.02
11401,939,23636.06
2258,936,23606.39
4702,935,23010.88
9521,935,23460.19
434,933,23052.65
27803,933,23749.24
2892,932,23239.06
4785,932,23494.75
11747,931,23750.46
16239,931,23087.4
3043,930,23199.54
7096,930,23078.71
8936,928,23118.94
32,927,22746.3
16700,927,22862.37
177,926,22827.47
12012,926,23512.51
4943,922,22441.57
9977,922,22916.17
2322,921,23234.97
1386,920,22974.28
4903,919,22593.33
56,917,22897.23
2781,916,22565.19
7632,915,22247.23
9141,915,22668.14
5588,913,23197.93
11030,913,23000.75
5299,912,23533.17
6329,912,22411.28
10440,912,22584.85
18172,912,23058.71
14972,909,22960.39
10941,907,22484.26
5514,906,22587.4
13466,905,22741.86
3666,904,22982.65
5930,904,22406.33
699,903,22956.19
4732,902,22739.69
8015,901,22554.41
14668,900,22640.13
7968,899,23132.39
12383,899,22646.48
251,897,21686.68
2519,897,22482.27
4707,896,21902.21
6116,896,21962.6
5041,895,21974.24
7994,895,21930.6
2629,894,23016.63
809,893,22404.36
8993,893,22389.05
18762,892,22747.62
4668,891,21791.88
7828,890,22402.63
1424,888,23063.77
4747,887,22381.21
4807,887,21839.66
10269,886,22223.17
4759,885,21924.97
5168,885,21969.61
725,883,21960.69
7701,882,21879.15
9320,882,21901.62
1256,881,21698.93
8956,877,22531.6
19317,876,22807.69
15239,875,21159.81
5289,873,22009.09
8058,873,21510.28
5547,872,20927.88
6115,872,21598.68
10700,872,22534.24
14986,871,21983.27
239,868,21306.52
5219,868,21305.68
5567,868,21774.3
19293,868,21915.31
13942,867,22110.47
340,866,21542.12
7851,866,21854.44
1059,864,21184.04
1768,864,21584.86
2478,864,21074.46
3954,864,20622.96
9672,864,20865.68
32510,863,21886.93
4351,861,21742.99
13404,861,21696.52
1091,860,21841.22
1211,860,21095.76
9439,859,21433.3
2076,858,21380.75
7609,858,20462.98
135,857,21749.74
799,855,20802.51
4834,855,21147.07
5291,854,21575.39
6339,854,21114.72
128,853,20978.49
3940,852,21347.37
4811,852,21866.92
331,851,21505.22
13904,851,21672.85
2942,850,20011.77
3037,848,20896.36
5573,848,21718.37
1454,847,20928.57
3155,847,20945.36
6513,847,21555.25
4260,846,21292.21
4680,846,21064.5
3124,845,21132.99
10656,844,20754.6
272,843,20496.37
6951,842,20977.79
5325,840,21319.12
5479,840,20955.68
4826,839,20813.04
918,838,20236.23
1348,838,20456.34
2350,838,20296.04
3470,837,20218.37
137,835,20366.8
2297,835,21088.96
2520,835,20531.07
1901,834,21103.87
10302,834,20375.73
16921,834,20957.53
4777,833,20629.23
12004,833,21262.44
1846,832,21400.59
5471,832,20685.78
7453,832,20982.4
2774,831,20924.14
1949,830,21053.94
30795,830,21411.85
41562,830,20719.17
8247,829,20033.45
10296,829,21101.68
4930,828,20242.01
2536,827,21354.3
9044,827,21095.83
6144,826,20457.84
10676,826,21180.47
599,824,20150.39
5593,824,19888.71
10737,824,20264.51
22689,824,20286.75
8434,823,20645.65
12172,822,20551.12
14821,822,19939.41
14,821,20078.99
3651,821,20808.27
9727,821,20412.58
10078,821,20454.23
10890,821,20465.95
7811,820,20836.24
36961,820,20779.1
10506,818,20060.18
20681,818,19750.4
8930,817,19592.19
14021,817,20012.81
10628,816,20502.37
1667,815,20618.02
14987,815,20388.19
4144,814,20798.91
16190,814,20091.91
97,813,20790.55
2669,813,20491.02
5902,813,19756.39
7838,813,20562.67
11702,813,19955.34
6051,812,19807.51
7791,811,20296.13
24776,811,20200.52
1620,810,19808.61
26999,810,20525.68
10982,809,20352.89
5564,808,20063.22
15551,807,19728.98
149,805,19832.72
523,803,20026.87
5870,803,19648.01
1508,800,19837.38
2482,800,19926.85
111,796,19531.45
5011,796,19527.86
7027,796,20217.89
3717,795,19997.44
7712,794,19668.17
1997,793,20541.56
10454,793,19810.47
2682,792,19447.99
10159,791,19510.47
24123,791,19947.57
7684,790,19216.95
20667,789,20012.16
2184,788,19648.38
337,787,18907.29
13926,787,20242.07
5831,786,19403.43
14020,786,19248.13
671,785,19928.91
3100,785,19177.36
5910,785,19450.72
11269,785,20085.22
4689,779,18955.91
7340,779,19722.51
8657,779,19252.95
2967,778,19644.27
3138,778,19240.17
2846,777,19534.38
8851,777,18907.01
12144,777,19638.05
2966,776,19349.57
2730,775,19385.33
4153,775,19283.18
5922,775,18680.33
12831,775,19551.3
18491,775,19470.22
2831,773,19158.87
12018,773,20070.32
49,772,19635.45
6623,772,19052.01
8334,772,19364.77
12174,772,19446.31
5863,770,19715.99
8382,770,18538.52
5200,769,18185.68
7673,769,18639.56
2946,768,18850.65
5119,768,18486.03
15762,768,18343.38
1594,767,19288.58
5269,767,18565.07
13594,767,19490.09
13230,764,18449.0
5602,761,19243.97
2921,760,19427.85
25,759,19485.76
9783,759,19374.25
18475,759,18999.57
14046,758,18882.82
5349,757,18375.17
2371,755,18631.37
5151,755,17862.29
5521,755,18801.07
30751,754,18357.63
33026,754,18659.75
290,753,18475.89
11353,752,18471.81
13249,751,18576.06
2189,750,18474.94
1801,749,18509.28
2431,749,19195.91
5611,748,18584.13
2307,747,18290.67
2490,747,17876.94
172,746,18925.47
4338,746,18893.55
9735,746,18045.9
1284,745,18409.26
1477,745,18422.04
4127,745,19367.81
5389,745,18810.11
8991,745,18844.21
23550,745,18932.32
10733,744,18424.64
2398,742,17833.22
11308,742,18406.35
4672,741,17739.47
7681,741,17666.01
527,740,18353.15
5753,739,17903.12
17494,739,18154.4
5170,738,17629.34
1108,737,17912.72
8983,737,18671.16
9930,737,19107.87
2775,736,18545.58
11528,736,18765.26
17675,736,18554.45
5370,735,17682.3
4853,733,17845.44
4954,733,18773.54
40680,733,18325.91
41762,733,19112.06
2475,732,17097.05
4107,732,18728.69
2794,731,17883.47
5218,731,17824.07
7469,731,17666.96
3122,730,18063.19
4350,730,18454.64
11125,730,18374.27
20652,730,18796.43
2527,728,17521.72
2358,725,17560.23
5002,725,17816.51
14069,725,18257.89
8039,723,17676.08
267,721,17837.58
4821,721,17680.45
5255,721,16974.01
5411,721,17964.71
16805,720,18009.59
2505,719,17260.07
3386,719,17909.63
858,717,18103.05
1870,717,17640.5
6057,717,17261.21
374,716,17009.4
4251,716,17759.02
6155,716,18098.45
6316,716,18086.59
99,715,17841.67
2401,715,16891.54
2474,715,17043.52
2486,714,17355.57
3052,714,17906.82
8579,714,17924.3
565,712,17227.01
8963,712,18115.98
2433,711,17912.46
2833,711,17551.05
3208,711,17592.13
6033,711,17222.07
18281,711,18147.84
8337,710,17634.68
13193,710,17658.39
5958,709,17216.26
18782,708,17593.28
6337,707,17579.25
9798,707,17249.11
2498,706,17970.74
5524,706,17485.32
5601,706,17123.07
11913,706,17487.08
3292,705,17529.46
103,704,17537.23
2170,704,17842.08
9293,704,17823.02
4683,703,17759.57
2932,702,16970.37
14779,702,18103.3
1490,701,16663.07
2838,701,17555.76
9422,701,16991.55
10667,701,17681.16
1523,700,17333.14
1890,699,17388.82
2816,699,17850.73
4174,698,17369.4
19259,698,17709.22
4201,696,17396.65
5318,696,17521.62
5569,696,17268.06
6081,696,17137.87
13308,696,17744.43
21749,696,17857.68
8261,695,17469.53
18847,695,17451.01
22544,695,17676.22
4985,694,17126.64
3482,693,16940.8
8083,692,17249.78
8390,691,17430.63
9179,689,17182.97
4694,688,15795.06
10361,687,17362.29
23953,687,16951.13
13937,686,16775.74
7015,684,17037.63
8662,684,16777.63
9465,683,16829.56
10548,683,17011.26
15519,683,17566.47
9016,682,16689.0
3111,681,16885.21
7872,680,17238.61
19395,680,16229.56
10306,678,16484.05
15428,678,16175.5
2535,677,16500.78
2947,677,17440.98
7384,677,17106.72
1485,675,17297.7
4997,675,16718.62
20815,675,16816.98
734,673,17046.15
2367,672,16315.15
33088,671,17071.11
988,670,16868.01
5076,670,16121.17
5671,669,16965.03
883,668,16705.21
8352,667,15816.75
16189,667,16843.02
1238,666,16288.62
4991,666,16161.71
27089,666,15970.33
1635,665,16021.5
8240,665,16441.28
17800,665,17117.2
1900,664,16469.95
16442,664,17305.47
104,662,16482.85
4588,662,16553.58
11371,662,15919.19
12891,662,16396.62
5202,661,17272.2
5268,659,16048.32
4345,658,16264.57
5575,657,16248.6
10092,657,16719.57
20042,657,16475.99
43029,657,16492.32
8048,656,15958.0
2529,655,16283.82
4805,655,16084.7
11324,655,16276.65
13365,655,15269.14
35238,655,16142.56
11723,654,16206.23
5511,653,15985.5
9677,652,16519.7
10584,652,15777.01
21612,652,16658.13
3051,650,16024.15
1590,649,16072.16
22063,649,16009.74
5016,648,15298.68
13030,648,16280.59
1962,647,15554.51
7579,647,15385.88
2809,646,15072.79
4729,646,15857.09
8856,646,16461.18
10248,645,15534.18
5800,644,16008.12
